marca,clase,servicio,cantidad
FIAT,Jeep,PARTICULAR,16
NISSAN,Otra Clase,ALQUILER,16
HYUNDAI,Camión,MUNNICIPIO,16
MERCEDES BENZ,Autobus,ESTADO,15
DAIHATSU,Otra Clase,PARTICULAR,15
VOLKSWAGEN,Otra Clase,PARTICULAR,15
CHEVROLET,Furgoneta C,ESTADO,15
CHANGAN,Camión,PARTICULAR,14
MAN,Autobus,ALQUILER,14
NISSAN,Tanquero,ALQUILER,14
TOYOTA,Automóvil,ESTADO,14
MITSUBISHI,Autobus,ESTADO,14
DONGFENG,Volqueta,PARTICULAR,14
TATA,Automóvil,ALQUILER,14
KIA,Autobus,ALQUILER,13
VOLKSWAGEN,Tanquero,PARTICULAR,13
KIA,Camioneta,ALQUILER,13
WILLYS,Furgoneta P,PARTICULAR,13
NISSAN,Furgoneta P,ESTADO,13
HYUNDAI,Otra Clase,MUNNICIPIO,13
HONDA,Camioneta,PARTICULAR,13
SCANIA,Volqueta,ALQUILER,13
ASIA,Autobus,PARTICULAR,13
NISSAN,Jeep,MUNNICIPIO,13
TATA,Jeep,PARTICULAR,13
FREIGHTLINER,Tanquero,PARTICULAR,13
RENAULT,Otra Clase,PARTICULAR,13
FORD,Camioneta,MUNNICIPIO,13
CHEVROLET,Tanquero,ESTADO,12
FORD,Furgoneta C,ESTADO,12
MAN,Volqueta,ALQUILER,12
KENWORTH,Tanquero,ALQUILER,12
Otras Marcas,Camión,MUNNICIPIO,12
MERCEDES BENZ,Otra Clase,ESTADO,12
CITROEN,Camioneta,PARTICULAR,12
PEUGEOT,Furgoneta C,PARTICULAR,12
DAIHATSU,Camión,ESTADO,12
ASIA,Furgoneta P,ALQUILER,12
KIA,Camión,ESTADO,12
GMC,Tanquero,PARTICULAR,12
AUDI,Furgoneta P,PARTICULAR,12
SUZUKI,Motocicleta,MUNNICIPIO,12
QMC,Automóvil,PARTICULAR,12
VOLVO,Camioneta,PARTICULAR,11
DONGFENG,Otra Clase,PARTICULAR,11
KENWORTH,Tanquero,PARTICULAR,11
CHEVROLET,Autobus,MUNNICIPIO,11
ISUZU,Camión,ESTADO,11
HINO,Tanquero,ESTADO,11
KIA,Trailer,PARTICULAR,11
KIA,Furgoneta C,MUNNICIPIO,11
ZX AUTO,Jeep,PARTICULAR,11
TOYOTA,Otra Clase,ESTADO,11
CHEVROLET,Tanquero,MUNNICIPIO,11
MITSUBISHI,Tanquero,ALQUILER,11
DAEWOO,Jeep,PARTICULAR,11
HYUNDAI,Tanquero,ALQUILER,10
HYUNDAI,Jeep,ESTADO,10
MITSUBISHI,Camioneta,MUNNICIPIO,10
SCANIA,Camión,ALQUILER,10
BYD,Furgoneta P,PARTICULAR,10
SUZUKI,Camioneta,PARTICULAR,10
SKODA,Furgoneta P,ALQUILER,10
JAC,Autobus,ALQUILER,10
DODGE,Tanquero,PARTICULAR,10
DAIHATSU,Autobus,PARTICULAR,10
INTERNATIONAL,Camión,MUNNICIPIO,10
SCANIA,Camión,ESTADO,10
FORD,Otra Clase,MUNNICIPIO,10
MAN,Tanquero,PARTICULAR,10
GMC,Otra Clase,PARTICULAR,10
INTERNATIONAL,Autobus,PARTICULAR,10
INTERNATIONAL,Furgoneta C,PARTICULAR,10
RENAULT,Trailer,PARTICULAR,10
INTERNATIONAL,Volqueta,OTROS,10
CHEVROLET,Jeep,OTROS,10
FORD,Tanquero,ESTADO,9
ISUZU,Tanquero,ALQUILER,9
KENWORTH,Camión,ALQUILER,9
GREAT WALL,Jeep,PARTICULAR,9
AUSTIN,Furgoneta P,PARTICULAR,9
FREIGHTLINER,Tanquero,ALQUILER,9
CHRYSLER,Jeep,PARTICULAR,9
CHEVROLET,Otra Clase,ALQUILER,9
VOLKSWAGEN,Camión,ALQUILER,9
DATSUN,Furgoneta C,PARTICULAR,8
FORMOSA,Motocicleta,PARTICULAR,8
MERCEDES BENZ,Camioneta,PARTICULAR,8
HINO,Tanquero,MUNNICIPIO,8
QMC,Otra Clase,PARTICULAR,8
KIA,Volqueta,PARTICULAR,8
VOLKSWAGEN,Volqueta,MUNNICIPIO,8
ISUZU,Tanquero,ESTADO,8
FOTON,Furgoneta C,PARTICULAR,8
JAC,Otra Clase,PARTICULAR,8
FAW,Camión,ALQUILER,8
DAIHATSU,Autobus,ALQUILER,8
CHERY,Furgoneta P,PARTICULAR,8
INTERNATIONAL,Tanquero,MUNNICIPIO,8
KIA,Tanquero,PARTICULAR,8
DONGFENG,Camión,ALQUILER,8
JAC,Autobus,PARTICULAR,8
QMC,Trailer,PARTICULAR,8
MITSUBISHI,Furgoneta P,ESTADO,8
DAIHATSU,Camión,MUNNICIPIO,8
MACK,Camión,ALQUILER,8
MERCEDES BENZ,Tanquero,ESTADO,8
DONGFENG,Trailer,PARTICULAR,8
RENAULT,Camioneta,PARTICULAR,8
RENAULT,Furgoneta C,PARTICULAR,8
GMC,Autobus,PARTICULAR,8
Otras Marcas,Tanquero,MUNNICIPIO,7
TOYOTA,Camión,ESTADO,7
ISUZU,Volqueta,ALQUILER,7
HYUNDAI,Furgoneta C,MUNNICIPIO,7
VOLVO,Volqueta,ESTADO,7
DAIHATSU,Volqueta,PARTICULAR,7
ASIA,Camión,PARTICULAR,7
TATA,Camioneta,ALQUILER,7
MITSUBISHI,Otra Clase,ALQUILER,7
FOTON,Volqueta,PARTICULAR,7
FREIGHTLINER,Otra Clase,PARTICULAR,7
MERCEDES BENZ,Camión,ESTADO,7
FORD,Otra Clase,ALQUILER,7
MACK,Tanquero,ALQUILER,7
SAIC WULING,Furgoneta P,PARTICULAR,7
KENWORTH,Otra Clase,PARTICULAR,7
HINO,Camioneta,PARTICULAR,7
VOLVO,Otra Clase,ESTADO,7
CHEVROLET,Otra Clase,MUNNICIPIO,7
HONDA,Automóvil,ESTADO,6
HYUNDAI,Furgoneta P,ESTADO,6
KIA,Camión,MUNNICIPIO,6
MITSUBISHI,Otra Clase,ESTADO,6
NISSAN,Tanquero,MUNNICIPIO,6
TOYOTA,Camioneta,SECTORES SECCIONALES,6
FREIGHTLINER,Camión,ALQUILER,6
FORD,Camión,MUNNICIPIO,6
HINO,Autobus,MUNNICIPIO,6
HYUNDAI,Autobus,ESTADO,6
MACK,Trailer,ESTADO,6
MITSUBISHI,Trailer,PARTICULAR,6
ISUZU,Trailer,PARTICULAR,6
KIA,Jeep,MUNNICIPIO,6
VOLKSWAGEN,Furgoneta C,ESTADO,6
VOLKSWAGEN,Furgoneta C,ALQUILER,6
VOLVO,Camión,ALQUILER,6
FORD,Tanquero,MUNNICIPIO,6
DODGE,Trailer,PARTICULAR,6
INTERNATIONAL,Camión,ESTADO,6
MACK,Camión,OTROS,6
MITSUBISHI,Volqueta,ESTADO,6
DONGFENG,Tanquero,PARTICULAR,6
PEGASO,Camión,PARTICULAR,6
LIFAN,Automóvil,PARTICULAR,6
QMC,Autobus,PARTICULAR,6
ASIA,Jeep,PARTICULAR,6
MERCEDES BENZ,Camión,MUNNICIPIO,6
SSANGYONG,Automóvil,PARTICULAR,6
GMC,Volqueta,ALQUILER,6
TOYOTA,Otra Clase,MUNNICIPIO,6
GREAT WALL,Camioneta,ALQUILER,6
TOYOTA,Trailer,PARTICULAR,6
CHEVROLET,Furgoneta C,ALQUILER,6
NISSAN,Tanquero,ESTADO,5
MAZDA,Furgoneta C,ESTADO,5
NISSAN,Otra Clase,MUNNICIPIO,5
ASIA,Trailer,PARTICULAR,5
Otras Marcas,Volqueta,ESTADO,5
JINBEI HAISE,Otra Clase,PARTICULAR,5
LML,Motocicleta,ESTADO,5
PEGASO,Volqueta,PARTICULAR,5
MITSUBISHI,Volqueta,MUNNICIPIO,5
FREIGHTLINER,Volqueta,ALQUILER,5
AUSTIN,Jeep,PARTICULAR,5
INTERNATIONAL,Autobus,ESTADO,5
FREIGHTLINER,Otra Clase,MUNNICIPIO,5
FAW,Autobus,PARTICULAR,5
FIAT,Automóvil,ALQUILER,5
MERCEDES BENZ,Autobus,MUNNICIPIO,5
CHEVROLET,Camioneta,SECTORES SECCIONALES,5
RENAULT,Camión,PARTICULAR,5
FORD,Furgoneta P,ESTADO,5
HONDA,Furgoneta C,ESTADO,5
VOLKSWAGEN,Volqueta,ALQUILER,5
PEGASO,Otra Clase,PARTICULAR,5
MERCEDES BENZ,Trailer,ESTADO,5
SSANGYONG,Jeep,ESTADO,5
RENAULT,Volqueta,PARTICULAR,5
JAC,Autobus,ESTADO,5
NISSAN,Camioneta,OTROS,4
VOLVO,Tanquero,PARTICULAR,4
FIAT,Autobus,PARTICULAR,4
SUBARU,Jeep,PARTICULAR,4
MITSUBISHI,Jeep,OTROS,4
MITSUBISHI,Volqueta,SECTORES SECCIONALES,4
GMC,Trailer,ALQUILER,4
CHANGHE,Camión,PARTICULAR,4
HYUNDAI,Jeep,MUNNICIPIO,4
HONDA,Motocicleta,MUNNICIPIO,4
FORD,Jeep,OTROS,4
TOYOTA,Jeep,OTROS,4
CHEVROLET,Furgoneta P,MUNNICIPIO,4
JAC,Volqueta,PARTICULAR,4
FOTON,Volqueta,ALQUILER,4
QMC,Volqueta,PARTICULAR,4
VOLKSWAGEN,Trailer,PARTICULAR,4
FAW,Volqueta,ALQUILER,4
INTERNATIONAL,Trailer,ESTADO,4
VOLKSWAGEN,Trailer,ALQUILER,4
VOLVO,Tanquero,ESTADO,4
Otras Marcas,Trailer,OTROS,4
FAW,Volqueta,PARTICULAR,4
VOLKSWAGEN,Autobus,ESTADO,4
NISSAN,Trailer,MUNNICIPIO,4
YAMAHA,Motocicleta,MUNNICIPIO,4
VOLVO,Autobus,PARTICULAR,4
MAN,Tanquero,ALQUILER,4
RENAULT,Tanquero,PARTICULAR,4
SUZUKI,Furgoneta C,ALQUILER,4
QMC,Autobus,ALQUILER,4
FOTON,Trailer,PARTICULAR,4
HYUNDAI,Otra Clase,ALQUILER,4
CHEVROLET,Furgoneta C,MUNNICIPIO,4
NISSAN,Autobus,ESTADO,4
Otras Marcas,Motocicleta,ESTADO,4
FIAT,Tanquero,PARTICULAR,4
MACK,Volqueta,OTROS,4
JMC,Camión,ALQUILER,4
FAW,Otra Clase,PARTICULAR,4
MACK,Camión,ESTADO,4
VOLKSWAGEN,Tanquero,MUNNICIPIO,4
VOLKSWAGEN,Furgoneta P,ALQUILER,4
VOLKSWAGEN,Automóvil,ESTADO,4
NISSAN,Volqueta,SECTORES SECCIONALES,4
GREAT WALL,Furgoneta P,PARTICULAR,4
LADA,Jeep,MUNNICIPIO,3
KENWORTH,Otra Clase,OTROS,3
ZX AUTO,Camioneta,ALQUILER,3
SSANGYONG,Automóvil,ALQUILER,3
NISSAN,Furgoneta P,ALQUILER,3
HYUNDAI,Camioneta,ALQUILER,3
TATA,Furgoneta P,ALQUILER,3
GMC,Jeep,ESTADO,3
SCANIA,Autobus,PARTICULAR,3
SKODA,Furgoneta C,PARTICULAR,3
INTERNATIONAL,Trailer,OTROS,3
PEGASO,Trailer,PARTICULAR,3
SUZUKI,Otra Clase,PARTICULAR,3
LML,Motocicleta,MUNNICIPIO,3
CHEVROLET,Jeep,SECTORES SECCIONALES,3
JEEP,Automóvil,PARTICULAR,3
KIA,Tanquero,ALQUILER,3
NISSAN,Camión,MUNNICIPIO,3
MACK,Otra Clase,MUNNICIPIO,3
FIAT,Otra Clase,PARTICULAR,3
SUZUKI,Jeep,OTROS,3
FIAT,Autobus,ESTADO,3
MAZDA,Camioneta,OTROS,3
DAIHATSU,Camioneta,ALQUILER,3
Otras Marcas,Volqueta,MUNNICIPIO,3
Otras Marcas,Furgoneta C,ALQUILER,3
DONGFENG,Autobus,PARTICULAR,3
MITSUBISHI,Otra Clase,MUNNICIPIO,3
VOLVO,Volqueta,OTROS,3
QMC,Tanquero,PARTICULAR,3
HYUNDAI,Autobus,MUNNICIPIO,3
MAZDA,Otra Clase,ESTADO,3
FREIGHTLINER,Otra Clase,ESTADO,3
ISUZU,Furgoneta C,ALQUILER,3
INTERNATIONAL,Trailer,MUNNICIPIO,3
MERCEDES BENZ,Otra Clase,MUNNICIPIO,3
NISSAN,Trailer,ALQUILER,3
TOYOTA,Camión,MUNNICIPIO,3
DAEWOO,Camioneta,PARTICULAR,3
FORD,Furgoneta P,ALQUILER,3
HYUNDAI,Volqueta,ALQUILER,3
LAND ROVER,Automóvil,PARTICULAR,3
TOYOTA,Camioneta,OTROS,3
SSANGYONG,Furgoneta P,ALQUILER,3
SCANIA,Tanquero,ALQUILER,3
TOYOTA,Tanquero,ALQUILER,3
Otras Marcas,Otra Clase,ALQUILER,3
BAJAJ,Motocicleta,ESTADO,3
VOLVO,Trailer,ESTADO,3
ISUZU,Autobus,ESTADO,3
FAW,Autobus,ALQUILER,3
PEUGEOT,Automóvil,ALQUILER,3
JMC,Autobus,PARTICULAR,3
DATSUN,Camión,PARTICULAR,3
LAND ROVER,Jeep,ESTADO,3
NISSAN,Volqueta,OTROS,3
FIAT,Trailer,PARTICULAR,3
MACK,Otra Clase,ESTADO,3
BMW,Automóvil,ESTADO,3
PEUGEOT,Automóvil,ESTADO,3
PEUGEOT,Furgoneta P,ALQUILER,3
VOLKSWAGEN,Otra Clase,MUNNICIPIO,3
INTERNATIONAL,Otra Clase,ALQUILER,3
DAEWOO,Furgoneta P,ALQUILER,3
LADA,Jeep,ESTADO,2
DAIHATSU,Tanquero,ALQUILER,2
VOLKSWAGEN,Tanquero,ALQUILER,2
KIA,Autobus,ESTADO,2
MITSUBISHI,Tanquero,ESTADO,2
DATSUN,Jeep,PARTICULAR,2
FREIGHTLINER,Tanquero,MUNNICIPIO,2
CHEVROLET,Automóvil,MUNNICIPIO,2
HINO,Volqueta,OTROS,2
NISSAN,Automóvil,ESTADO,2
MITSUBISHI,Tanquero,SECTORES SECCIONALES,2
FOTON,Furgoneta C,ALQUILER,2
SCANIA,Trailer,ESTADO,2
RENAULT,Automóvil,MUNNICIPIO,2
Otras Marcas,Trailer,ESTADO,2
FIAT,Furgoneta P,ALQUILER,2
ZX AUTO,Furgoneta C,PARTICULAR,2
VOLVO,Furgoneta C,PARTICULAR,2
KIA,Otra Clase,MUNNICIPIO,2
MACK,Trailer,MUNNICIPIO,2
TOYOTA,Furgoneta C,MUNNICIPIO,2
FORD,Trailer,ESTADO,2
JEEP,Jeep,ESTADO,2
ISUZU,Volqueta,MUNNICIPIO,2
TOYOTA,Jeep,ALQUILER,2
NISSAN,Jeep,OTROS,2
CHEVROLET,Motocicleta,PARTICULAR,2
CHEVROLET,Automóvil,OTROS,2
TOYOTA,Tanquero,MUNNICIPIO,2
SAEHAN,Furgoneta P,PARTICULAR,2
JMC,Camioneta,ALQUILER,2
GREAT WALL,Furgoneta C,PARTICULAR,2
QMC,Camión,MUNNICIPIO,2
NISSAN,Furgoneta P,MUNNICIPIO,2
Otras Marcas,Automóvil,ALQUILER,2
JAC,Tanquero,PARTICULAR,2
DODGE,Autobus,PARTICULAR,2
GMC,Otra Clase,ESTADO,2
WILLYS,Automóvil,PARTICULAR,2
SHINERAY,Motocicleta,ESTADO,2
FORD,Furgoneta C,ALQUILER,2
PEUGEOT,Jeep,PARTICULAR,2
HYUNDAI,Camión,ESTADO,2
JAC,Trailer,PARTICULAR,2
HINO,Camión,SECTORES SECCIONALES,2
JIANSHE,Motocicleta,ESTADO,2
FOTON,Camión,ALQUILER,2
SUZUKI,Jeep,MUNNICIPIO,2
FIAT,Camión,ESTADO,2
MAN,Tanquero,MUNNICIPIO,2
VOLKSWAGEN,Camioneta,ALQUILER,2
FIAT,Volqueta,ALQUILER,2
LIFAN,Motocicleta,ESTADO,2
CHRYSLER,Camioneta,PARTICULAR,2
Otras Marcas,Autobus,MUNNICIPIO,2
ISUZU,Camioneta,ALQUILER,2
MERCEDES BENZ,Furgoneta P,ALQUILER,2
ISUZU,Automóvil,ALQUILER,2
VOLKSWAGEN,Autobus,MUNNICIPIO,2
Otras Marcas,Automóvil,ESTADO,2
Otras Marcas,Camioneta,ESTADO,2
Otras Marcas,Volqueta,OTROS,2
MERCEDES BENZ,Automóvil,ESTADO,2
VESPA,Motocicleta,MUNNICIPIO,2
SAIC WULING,Automóvil,PARTICULAR,2
TOYOTA,Volqueta,ALQUILER,2
VOLKSWAGEN,Camioneta,ESTADO,2
BMW,Camioneta,PARTICULAR,2
TOYOTA,Autobus,MUNNICIPIO,2
HYUNDAI,Tanquero,ESTADO,2
MAN,Autobus,PARTICULAR,2
MERCEDES BENZ,Trailer,MUNNICIPIO,2
MACK,Volqueta,ESTADO,2
MITSUBISHI,Trailer,ESTADO,2
GMC,Camión,ALQUILER,2
MITSUBISHI,Automóvil,ESTADO,2
ASIA,Autobus,ESTADO,2
MAZDA,Autobus,PARTICULAR,2
MERCEDES BENZ,Automóvil,OTROS,2
MITSUBISHI,Autobus,MUNNICIPIO,2
KENWORTH,Trailer,ESTADO,2
TATA,Otra Clase,PARTICULAR,1
DODGE,Camión,ALQUILER,1
FORD,Jeep,SECTORES SECCIONALES,1
AUDI,Automóvil,ESTADO,1
FORD,Camioneta,OTROS,1
ORO MOTO,Motocicleta,MUNNICIPIO,1
MAZDA,Tanquero,PARTICULAR,1
LADA,Motocicleta,PARTICULAR,1
JEEP,Jeep,OTROS,1
KENWORTH,Otra Clase,ALQUILER,1
MAZDA,Autobus,ESTADO,1
WILLYS,Camión,PARTICULAR,1
SAIC WULING,Autobus,PARTICULAR,1
JEEP,Jeep,MUNNICIPIO,1
HYUNDAI,Automóvil,MUNNICIPIO,1
VOLVO,Automóvil,ALQUILER,1
YAMAHA,Otra Clase,PARTICULAR,1
FAW,Trailer,ALQUILER,1
TOYOTA,Otra Clase,ALQUILER,1
Otras Marcas,Tanquero,OTROS,1
DAIHATSU,Otra Clase,ALQUILER,1
MAZDA,Jeep,ESTADO,1
MITSUBISHI,Jeep,SECTORES SECCIONALES,1
MERCEDES BENZ,Camioneta,ALQUILER,1
SCANIA,Camión,MUNNICIPIO,1
CHEVROLET,Furgoneta P,OTROS,1
JAC,Trailer,ALQUILER,1
DODGE,Otra Clase,ESTADO,1
MAN,Otra Clase,ALQUILER,1
MITSUBISHI,Trailer,ALQUILER,1
ISUZU,Otra Clase,ALQUILER,1
CHANGHE,Furgoneta C,ALQUILER,1
HINO,Tanquero,SECTORES SECCIONALES,1
MAN,Trailer,MUNNICIPIO,1
FREIGHTLINER,Autobus,PARTICULAR,1
SCANIA,Volqueta,MUNNICIPIO,1
JINBEI HAISE,Camioneta,PARTICULAR,1
FOTON,Autobus,PARTICULAR,1
RENAULT,Trailer,ALQUILER,1
SSANGYONG,Otra Clase,PARTICULAR,1
WILLYS,Otra Clase,PARTICULAR,1
NISSAN,Camión,SECTORES SECCIONALES,1
SHINERAY,Motocicleta,MUNNICIPIO,1
FAW,Automóvil,PARTICULAR,1
FREIGHTLINER,Camión,ESTADO,1
ISUZU,Jeep,OTROS,1
HONDA,Jeep,ESTADO,1
TATA,Autobus,ALQUILER,1
DAEWOO,Autobus,ALQUILER,1
SAEHAN,Camión,PARTICULAR,1
SCANIA,Trailer,OTROS,1
CHANGAN,Furgoneta C,ALQUILER,1
PEGASO,Camión,ALQUILER,1
RENAULT,Jeep,PARTICULAR,1
KIA,Furgoneta C,OTROS,1
MERCEDES BENZ,Automóvil,MUNNICIPIO,1
JEEP,Otra Clase,PARTICULAR,1
DACIA,Automóvil,ALQUILER,1
NISSAN,Jeep,SECTORES SECCIONALES,1
TOYOTA,Automóvil,OTROS,1
JMC,Autobus,ALQUILER,1
Otras Marcas,Motocicleta,MUNNICIPIO,1
ISUZU,Camioneta,MUNNICIPIO,1
CITROEN,Jeep,PARTICULAR,1
MAZDA,Camión,ALQUILER,1
GMC,Autobus,ESTADO,1
CHRYSLER,Otra Clase,PARTICULAR,1
JINBEI HAISE,Autobus,PARTICULAR,1
HYUNDAI,Trailer,ALQUILER,1
DODGE,Camioneta,OTROS,1
FOTON,Tanquero,PARTICULAR,1
VOLVO,Automóvil,ESTADO,1
FOTON,Otra Clase,PARTICULAR,1
CHEVROLET,Trailer,ESTADO,1
MACK,Tanquero,ESTADO,1
DODGE,Furgoneta C,ALQUILER,1
MAZDA,Furgoneta C,MUNNICIPIO,1
MITSUBISHI,Camioneta,OTROS,1
FORD,Furgoneta C,OTROS,1
TOYOTA,Camión,SECTORES SECCIONALES,1
MERCEDES BENZ,Jeep,OTROS,1
MACK,Autobus,PARTICULAR,1
TOYOTA,Furgoneta P,OTROS,1
QMC,Camión,ESTADO,1
AUSTIN,Volqueta,PARTICULAR,1
DONGFENG,Volqueta,ALQUILER,1
HONDA,Motocicleta,SECTORES SECCIONALES,1
DACIA,Camioneta,ALQUILER,1
DAEWOO,Trailer,MUNNICIPIO,1
RANGER,Furgoneta P,PARTICULAR,1
HYUNDAI,Furgoneta C,OTROS,1
RANGER,Motocicleta,MUNNICIPIO,1
HYUNDAI,Camión,OTROS,1
QMC,Camioneta,ALQUILER,1
Otras Marcas,Camioneta,ALQUILER,1
GMC,Automóvil,ESTADO,1
FAW,Trailer,PARTICULAR,1
MERCEDES BENZ,Furgoneta C,ESTADO,1
INTERNATIONAL,Tanquero,OTROS,1
SAIC WULING,Jeep,PARTICULAR,1
SUZUKI,Camioneta,ESTADO,1
PEGASO,Volqueta,ALQUILER,1
FORD,Furgoneta P,OTROS,1
RENAULT,Automóvil,OTROS,1
CHEVROLET,Tanquero,OTROS,1
MAZDA,Camión,ESTADO,1
LIFAN,Automóvil,ALQUILER,1
GMC,Furgoneta C,ESTADO,1
CHANGHE,Automóvil,ALQUILER,1
DONGFENG,Trailer,ALQUILER,1
MACK,Trailer,OTROS,1
MAZDA,Automóvil,OTROS,1
FORD,Camioneta,SECTORES SECCIONALES,1
HYUNDAI,Camioneta,ESTADO,1
ASIA,Furgoneta C,ESTADO,1
ORO MOTO,Motocicleta,ESTADO,1
LEXUS,Automóvil,MUNNICIPIO,1
SCANIA,Autobus,ESTADO,1
ISUZU,Otra Clase,ESTADO,1
NISSAN,Autobus,MUNNICIPIO,1
ISUZU,Furgoneta P,ALQUILER,1
DACIA,Furgoneta C,PARTICULAR,1
FIAT,Camioneta,MUNNICIPIO,1
VOLKSWAGEN,Automóvil,MUNNICIPIO,1
TVS,Motocicleta,PARTICULAR,1
FAW,Camioneta,ALQUILER,1
CITROEN,Automóvil,OTROS,1
HONDA,Jeep,MUNNICIPIO,1
QMC,Tanquero,ALQUILER,1
SSANGYONG,Camioneta,ALQUILER,1
ISUZU,Trailer,SECTORES SECCIONALES,1
FREIGHTLINER,Autobus,ALQUILER,1
KIA,Volqueta,ALQUILER,1
HINO,Furgoneta P,PARTICULAR,1
PEGASO,Trailer,ALQUILER,1
DATSUN,Trailer,PARTICULAR,1
SCANIA,Autobus,MUNNICIPIO,1
HINO,Automóvil,PARTICULAR,1
MAZDA,Motocicleta,PARTICULAR,1
OKAZAKI,Automóvil,PARTICULAR,1
DAIHATSU,Jeep,ALQUILER,1
ASIA,Tanquero,PARTICULAR,1
INTERNATIONAL,Autobus,MUNNICIPIO,1
DODGE,Furgoneta C,ESTADO,1
HYUNDAI,Automóvil,OTROS,1
CITROEN,Automóvil,ALQUILER,1
LAND ROVER,Otra Clase,PARTICULAR,1
NISSAN,Automóvil,OTROS,1
Otras Marcas,Automóvil,OTROS,1
GMC,Autobus,ALQUILER,1
TATA,Camión,ALQUILER,1
DAEWOO,Furgoneta C,ALQUILER,1
KENWORTH,Volqueta,ALQUILER,1
FOTON,Trailer,ALQUILER,1
MERCEDES BENZ,Tanquero,MUNNICIPIO,1
CHEVROLET,Trailer,OTROS,1
CHANGHE,Camioneta,MUNNICIPIO,1
MAHINDRA,Jeep,PARTICULAR,1
GMC,Automóvil,PARTICULAR,1
NISSAN,Automóvil,MUNNICIPIO,1
NISSAN,Furgoneta C,MUNNICIPIO,1
TRAXX,Motocicleta,ESTADO,1
DAIHATSU,Jeep,MUNNICIPIO,1
FORD,Volqueta,OTROS,1
KIA,Automóvil,ESTADO,1
KIA,Furgoneta P,ESTADO,1
TOYOTA,Automóvil,MUNNICIPIO,1
KENWORTH,Trailer,OTROS,1
KENWORTH,Camión,OTROS,1
GMC,Camioneta,ESTADO,1
DATSUN,Furgoneta P,ALQUILER,1
HINO,Trailer,ESTADO,1
DONGFENG,Tanquero,ALQUILER,1
MERCEDES BENZ,Automóvil,ALQUILER,1
CHANGAN,Camioneta,ALQUILER,1
VOLKSWAGEN,Trailer,MUNNICIPIO,1
SAEHAN,Volqueta,PARTICULAR,1
MITSUBISHI,Furgoneta P,OTROS,1
Otras Marcas,Camioneta,MUNNICIPIO,1
JAC,Tanquero,ESTADO,1
JAC,Volqueta,ALQUILER,1
FORD,Automóvil,OTROS,1
MOTOR UNO,Motocicleta,ESTADO,1
FREIGHTLINER,Tanquero,ESTADO,1
CITROEN,Otra Clase,PARTICULAR,1
NISSAN,Camioneta,SECTORES SECCIONALES,1
NISSAN,Trailer,ESTADO,1
FORD,Automóvil,ESTADO,1
INTERNATIONAL,Camión,OTROS,1
CHANGHE,Autobus,PARTICULAR,1
FIAT,Camión,ALQUILER,1
VOLVO,Camión,OTROS,1
NISSAN,Jeep,ALQUILER,1
VOLKSWAGEN,Camión,MUNNICIPIO,1
ASIA,Volqueta,PARTICULAR,1
